image,PSNR,SSIM,LPIPS
MTN_1090.png,19.074743,0.716439,0.256374
MTN_1098.png,24.369316,0.893911,0.139018
MTN_1106.png,24.679166,0.886753,0.145599
Average,22.707742,0.832368,0.180330
