ablation,PSNR,SSIM,LPIPS,image_count
360_wo,22.683570,0.839120,0.172820,3
3DGS,21.719400,0.836901,0.193667,3
Mipsplatting,21.477299,0.839433,0.188926,3
all,23.724482,0.885397,0.110597,3
depth_wo,23.362038,0.882972,0.113566,3
forward_wo,23.130150,0.869125,0.136198,3
mipnerf,21.188694,0.722849,0.366411,3
original,23.748149,0.879554,0.116793,3
sample_wo,22.707742,0.832368,0.180330,3
seathru,22.050715,0.766680,0.249515,3
