image,PSNR,SSIM,LPIPS
MTN_1090.png,17.005388,0.580974,0.410291
MTN_1098.png,22.777406,0.824660,0.278858
MTN_1106.png,23.783287,0.762915,0.410083
Average,21.188694,0.722849,0.366411
