image,PSNR,SSIM,LPIPS
00000.png,20.434806,0.801289,0.239065
00001.png,27.592502,0.856902,0.301022
00002.png,28.000303,0.852207,0.218483
00003.png,26.372937,0.848383,0.270210
Average,25.600137,0.839695,0.257195
