image,PSNR,SSIM,LPIPS
MTN_5894.png,20.837694,0.649403,0.400635
MTN_5903.png,30.946218,0.819907,0.348220
MTN_5911.png,25.514323,0.739311,0.321137
MTN_5928.png,26.952664,0.757216,0.379963
Average,26.062725,0.741459,0.362489
