ablation,PSNR,SSIM,LPIPS,image_count
360_wo,27.752468,0.836678,0.245315,4
3DGS,25.600137,0.839695,0.257195,4
Mipsplatting,24.939263,0.833238,0.260781,4
all,28.825268,0.860698,0.182631,4
depth_wo,28.524178,0.854837,0.185371,4
forward_wo,28.459346,0.856532,0.188555,4
mipnerf,26.062725,0.741459,0.362489,4
original,28.257869,0.851002,0.190844,4
sample_wo,16.880883,0.460106,0.495217,4
seathru,25.863398,0.790139,0.291755,4
