image,PSNR,SSIM,LPIPS
MTN_5894.png,21.068628,0.690997,0.307328
MTN_5903.png,30.787016,0.845121,0.304703
MTN_5911.png,24.482843,0.798015,0.253234
MTN_5928.png,27.115105,0.826426,0.301754
Average,25.863398,0.790139,0.291755
