image,PSNR,SSIM,LPIPS
MTN_5894.png,22.694387,0.783797,0.214665
MTN_5903.png,32.269431,0.870479,0.202572
MTN_5911.png,29.816885,0.888733,0.147801
MTN_5928.png,29.316010,0.876339,0.176448
Average,28.524178,0.854837,0.185371
