image,PSNR,SSIM,LPIPS
MTN_5894.png,15.378398,0.356984,0.514047
MTN_5903.png,20.135377,0.624809,0.458579
MTN_5911.png,15.120354,0.378488,0.523636
MTN_5928.png,16.889403,0.480145,0.484605
Average,16.880883,0.460106,0.495217
