image,PSNR,SSIM,LPIPS
00000.png,20.041572,0.793875,0.237521
00001.png,31.283799,0.865124,0.294197
00002.png,23.389260,0.829375,0.241014
00003.png,25.042422,0.844576,0.270392
Average,24.939263,0.833238,0.260781
