image,PSNR,SSIM,LPIPS
color_000(1).png,23.250018,0.797447,0.213880
color_001(1).png,32.799035,0.869877,0.207637
color_002(1).png,30.438510,0.885897,0.149757
color_003.png,29.781265,0.875680,0.183903
Average,29.067207,0.857225,0.188794
