image,PSNR,SSIM,LPIPS
MTN_1529.png,32.708331,0.941878,0.085583
MTN_1539.png,31.259687,0.925692,0.075554
MTN_1547.png,31.543499,0.948626,0.057936
Average,31.837172,0.938732,0.073024
