image,PSNR,SSIM,LPIPS
MTN_1529.png,32.176545,0.929669,0.111377
MTN_1539.png,31.072197,0.916546,0.088972
MTN_1547.png,30.539810,0.938939,0.074404
Average,31.262851,0.928385,0.091585
