image,PSNR,SSIM,LPIPS
MTN_1529.png,27.833586,0.833494,0.235440
MTN_1539.png,27.271414,0.814378,0.184106
MTN_1547.png,28.239328,0.838925,0.256656
Average,27.781443,0.828932,0.225400
