image,PSNR,SSIM,LPIPS
MTN_1529.png,32.209376,0.941159,0.089908
MTN_1539.png,30.705177,0.923878,0.078977
MTN_1547.png,30.711760,0.947026,0.059209
Average,31.208771,0.937354,0.076031
