image,PSNR,SSIM,LPIPS
微信图片_20260126035845_154_24.png,27.050353,0.897507,0.202215
微信图片_20260126035845_155_24.png,33.846240,0.949665,0.076445
微信图片_20260126035845_156_24.png,34.014537,0.938875,0.092344
Average,31.637043,0.928683,0.123668
