image,PSNR,SSIM,LPIPS
微信图片_20260126022328_114_24.png,18.506806,0.838146,0.283754
微信图片_20260126022328_115_24.png,33.019115,0.941424,0.087445
微信图片_20260126022329_116_24.png,31.845950,0.914483,0.120288
Average,27.790624,0.898018,0.163829
