ablation,PSNR,SSIM,LPIPS,image_count
360_wo,27.790624,0.898018,0.163829,3
3DGS,29.805915,0.887170,0.219670,3
Mipsplatting,30.156225,0.895032,0.213289,3
all,31.736093,0.930328,0.116249,3
depth_wo,31.687611,0.930368,0.120036,3
forward_wo,31.637043,0.928683,0.123668,3
mipnerf,25.777051,0.822519,0.281324,3
original,29.329140,0.914302,0.132473,3
sample_wo,29.136344,0.907672,0.148026,3
seathru,30.143404,0.870320,0.213743,3
