image,PSNR,SSIM,LPIPS
微信图片_20260126030012_141_24.png,28.446838,0.904052,0.190802
微信图片_20260126030012_142_24.png,33.300680,0.949199,0.076008
微信图片_20260126030013_143_24.png,33.315315,0.937853,0.093298
Average,31.687611,0.930368,0.120036
